                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0889,                 0.9897,                 1.5204,                0.94283,                0.88946,                0.95942,                0.72031,                0.84757,                0.49044,                 1.2613,              0.0033326,              0.0033326,              0.0033326
                      2,                 1.0496,                0.81086,                 1.4754,                0.93279,                0.86812,                0.94123,                0.69937,                0.90936,                 0.5691,                 1.3503,              0.0066329,              0.0066329,              0.0066329
                      3,                 1.1315,                0.92373,                 1.5232,                0.89637,                0.85979,                0.92326,                0.66811,                0.97125,                0.63552,                 1.3668,              0.0099002,              0.0099002,              0.0099002
                      4,                 1.1611,                0.96415,                 1.5457,                0.94511,                0.86547,                0.93589,                 0.6985,                 0.8914,                 0.5523,                 1.3057,              0.0098515,              0.0098515,              0.0098515
                      5,                  1.081,                0.85133,                 1.4773,                0.95056,                0.89203,                0.95411,                0.73469,                0.82329,                0.50959,                 1.2316,               0.009802,               0.009802,               0.009802
                      6,                  1.014,                0.77387,                 1.4254,                0.93859,                0.91859,                0.96463,                0.76507,                 0.7716,                0.46089,                 1.2005,              0.0097525,              0.0097525,              0.0097525
                      7,                0.97778,                0.72993,                 1.3937,                0.95353,                0.91435,                0.96685,                0.76852,                0.75519,                 0.4338,                 1.1894,               0.009703,               0.009703,               0.009703
                      8,                0.93479,                0.67842,                 1.3614,                0.96275,                0.91088,                0.97327,                0.79366,                0.70842,                0.41203,                 1.1376,              0.0096535,              0.0096535,              0.0096535
                      9,                0.90362,                0.64704,                 1.3367,                0.97104,                0.91933,                0.97604,                0.80937,                0.67651,                0.37586,                 1.1084,               0.009604,               0.009604,               0.009604
                     10,                0.88185,                0.62152,                 1.3191,                0.96038,                 0.9347,                0.97888,                0.82494,                0.62845,                 0.3539,                 1.0548,              0.0095545,              0.0095545,              0.0095545
                     11,                0.85672,                0.60047,                 1.2991,                 0.9714,                0.94859,                0.98142,                0.82762,                0.63022,                0.33672,                 1.0526,               0.009505,               0.009505,               0.009505
                     12,                 0.8334,                0.57959,                 1.2816,                0.97618,                0.93145,                0.98152,                0.84484,                0.58089,                0.32313,                 1.0267,              0.0094555,              0.0094555,              0.0094555
                     13,                0.81658,                0.56027,                 1.2661,                0.98008,                0.94259,                0.98149,                0.84718,                 0.5709,                0.31918,                 1.0151,               0.009406,               0.009406,               0.009406
                     14,                0.79778,                0.54862,                 1.2521,                0.98769,                0.93573,                0.98388,                0.85068,                0.56398,                0.30499,                 1.0018,              0.0093565,              0.0093565,              0.0093565
                     15,                 0.7858,                0.53173,                 1.2407,                0.97276,                0.94863,                0.98551,                0.86067,                0.55497,                0.29274,                0.99313,               0.009307,               0.009307,               0.009307
                     16,                0.76638,                0.51912,                 1.2258,                0.97798,                0.95128,                0.98796,                0.86865,                0.53634,                0.27993,                0.98489,              0.0092575,              0.0092575,              0.0092575
                     17,                0.75569,                0.50524,                 1.2187,                0.97036,                0.95801,                0.98775,                0.87175,                0.50802,                0.27862,                0.95767,               0.009208,               0.009208,               0.009208
                     18,                0.74528,                 0.4953,                 1.2096,                0.98013,                 0.9503,                0.98974,                0.88317,                0.49821,                0.26332,                0.95345,              0.0091585,              0.0091585,              0.0091585
                     19,                0.73233,                0.48351,                 1.1979,                0.98297,                0.95116,                0.99056,                0.88838,                0.48309,                0.25836,                0.93372,               0.009109,               0.009109,               0.009109
                     20,                0.72592,                0.47648,                 1.1932,                 0.9849,                0.96058,                0.99065,                0.89485,                0.45857,                0.24816,                0.91538,              0.0090595,              0.0090595,              0.0090595
