                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3476,                0.92483,                  1.344,                0.89515,                0.79482,                 0.8938,                 0.5854,                 1.5482,                 1.4853,                 2.1345,             0.00066606,             0.00066606,             0.00066606
                      2,                 1.2636,                0.85511,                 1.3151,                0.91986,                0.82113,                0.92344,                0.60201,                 1.5968,                 1.4457,                 2.1992,              0.0013195,              0.0013195,              0.0013195
                      3,                  1.211,                0.78168,                 1.2861,                0.92094,                0.87343,                 0.9187,                 0.5489,                 1.5077,                 1.3249,                 2.0659,              0.0019598,              0.0019598,              0.0019598
                      4,                 1.1566,                 0.7362,                 1.2491,                0.93584,                0.91318,                0.95917,                0.66776,                 1.2426,                 1.0394,                 1.8642,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.0823,                 0.6595,                 1.2104,                0.93108,                0.89021,                0.95373,                0.69207,                 1.1812,                0.97376,                 1.7625,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.0495,                0.60639,                  1.191,                0.93124,                0.92077,                0.95737,                0.70642,                 1.2023,                0.95253,                 1.7807,               0.001901,               0.001901,               0.001901
                      7,                 1.0185,                0.59189,                 1.1732,                 0.9573,                0.93806,                0.96865,                 0.7185,                 1.0776,                  0.777,                 1.6857,              0.0018812,              0.0018812,              0.0018812
                      8,                0.99391,                0.56286,                 1.1511,                0.96568,                0.93828,                0.97295,                 0.7164,                 1.0276,                0.77439,                 1.6109,              0.0018614,              0.0018614,              0.0018614
                      9,                0.96063,                 0.5384,                 1.1351,                0.96513,                0.93724,                0.97438,                0.72995,                 1.0401,                0.72019,                  1.656,              0.0018416,              0.0018416,              0.0018416
                     10,                0.95466,                 0.5355,                 1.1304,                0.95369,                0.92618,                0.97255,                0.71065,                 1.1286,                0.76475,                 1.6741,              0.0018218,              0.0018218,              0.0018218
                     11,                0.93562,                0.51772,                 1.1236,                0.96369,                0.95502,                0.97483,                0.72634,                 1.0697,                0.71321,                 1.6829,               0.001802,               0.001802,               0.001802
                     12,                0.91673,                0.49959,                 1.1115,                0.96355,                0.95816,                0.97961,                0.73732,                 1.0284,                0.64461,                 1.5922,              0.0017822,              0.0017822,              0.0017822
                     13,                0.88519,                0.48351,                 1.0955,                0.96603,                0.95176,                0.97657,                0.74363,                0.96669,                0.65079,                 1.5265,              0.0017624,              0.0017624,              0.0017624
                     14,                0.87449,                0.47244,                 1.0905,                0.96384,                0.96234,                0.98022,                0.73129,                 1.0211,                0.63599,                 1.6075,              0.0017426,              0.0017426,              0.0017426
                     15,                0.86887,                0.46222,                 1.0825,                0.96391,                0.96234,                0.98025,                0.74684,                 0.9159,                0.59772,                 1.4755,              0.0017228,              0.0017228,              0.0017228
                     16,                 0.8653,                0.45621,                 1.0829,                0.97144,                0.92469,                0.96351,                0.71626,                 1.0201,                0.75625,                 1.5795,               0.001703,               0.001703,               0.001703
                     17,                0.85218,                0.45986,                  1.077,                0.97844,                0.94946,                0.97625,                 0.7518,                0.96853,                0.60923,                 1.5393,              0.0016832,              0.0016832,              0.0016832
                     18,                 0.8415,                0.44628,                 1.0659,                0.97992,                0.94665,                0.97913,                0.75324,                0.91669,                0.58594,                 1.4515,              0.0016634,              0.0016634,              0.0016634
                     19,                0.83036,                0.44126,                 1.0599,                0.97284,                0.95293,                0.97781,                0.75983,                0.88622,                 0.5916,                  1.458,              0.0016436,              0.0016436,              0.0016436
                     20,                0.80821,                0.42724,                 1.0515,                0.97598,                0.93495,                0.98131,                0.76096,                0.95127,                0.64228,                 1.5043,              0.0016238,              0.0016238,              0.0016238
                     21,                0.81248,                0.43184,                 1.0572,                0.97355,                0.96269,                0.98292,                0.77519,                0.85745,                0.51618,                 1.4131,               0.001604,               0.001604,               0.001604
                     22,                 0.7992,                0.41987,                 1.0489,                 0.9693,                0.95788,                0.97974,                 0.7713,                0.86087,                0.53563,                 1.3859,              0.0015842,              0.0015842,              0.0015842
                     23,                 0.7996,                0.41949,                 1.0462,                 0.9755,                0.95774,                0.98288,                0.77145,                0.90497,                0.52937,                 1.4492,              0.0015644,              0.0015644,              0.0015644
                     24,                0.79283,                0.41608,                 1.0439,                0.96963,                0.95816,                0.98077,                0.76092,                0.87678,                0.55372,                 1.4349,              0.0015446,              0.0015446,              0.0015446
                     25,                0.78872,                0.41099,                 1.0442,                0.98172,                0.95513,                0.98108,                0.76378,                0.88395,                0.54082,                 1.4156,              0.0015248,              0.0015248,              0.0015248
                     26,                0.77062,                0.40022,                 1.0333,                0.97427,                0.95053,                 0.9837,                0.77751,                0.84111,                0.51078,                 1.3785,               0.001505,               0.001505,               0.001505
                     27,                0.75704,                 0.3976,                 1.0259,                0.97777,                0.96608,                0.98767,                0.77512,                0.86397,                0.51428,                 1.4124,              0.0014852,              0.0014852,              0.0014852
                     28,                0.76175,                0.39264,                  1.026,                0.97147,                0.96174,                 0.9819,                0.77149,                0.87099,                0.51397,                 1.4186,              0.0014654,              0.0014654,              0.0014654
                     29,                0.75785,                0.38917,                 1.0256,                0.97181,                 0.9613,                0.98231,                0.77259,                0.88142,                0.50943,                 1.4409,              0.0014456,              0.0014456,              0.0014456
                     30,                0.74364,                0.38496,                 1.0211,                0.97944,                0.95711,                0.98303,                0.77028,                0.84259,                0.51171,                 1.3655,              0.0014258,              0.0014258,              0.0014258
                     31,                 0.7376,                0.37868,                 1.0145,                0.97996,                0.96234,                0.98421,                0.77093,                0.86131,                0.48219,                 1.4111,               0.001406,               0.001406,               0.001406
                     32,                0.73096,                0.37414,                 1.0097,                0.97736,                0.95921,                0.98443,                 0.7761,                0.89314,                0.53324,                 1.4321,              0.0013862,              0.0013862,              0.0013862
                     33,                0.72771,                0.36855,                 1.0114,                0.97971,                0.95978,                0.98138,                0.77594,                0.82057,                0.50576,                 1.3598,              0.0013664,              0.0013664,              0.0013664
                     34,                0.73057,                0.37643,                 1.0107,                0.96792,                0.96234,                0.98404,                 0.7777,                0.84468,                0.49438,                 1.3921,              0.0013466,              0.0013466,              0.0013466
                     35,                0.72261,                0.37285,                 1.0082,                0.97757,                0.96757,                0.98542,                0.77727,                0.81862,                0.48982,                 1.3754,              0.0013268,              0.0013268,              0.0013268
                     36,                0.71981,                0.36667,                  1.004,                0.97981,                0.95816,                0.98678,                0.78134,                0.83022,                0.47768,                 1.3577,               0.001307,               0.001307,               0.001307
                     37,                0.70843,                0.36237,                  1.003,                0.97269,                0.97385,                0.98766,                0.78284,                0.83848,                0.45781,                 1.3833,              0.0012872,              0.0012872,              0.0012872
                     38,                0.70538,                0.35884,                0.99804,                0.97599,                0.96234,                0.98352,                 0.7793,                0.81799,                0.45936,                 1.3758,              0.0012674,              0.0012674,              0.0012674
                     39,                0.70683,                0.35699,                0.99622,                0.97626,                0.96653,                0.98406,                0.77812,                0.82744,                 0.4886,                 1.3617,              0.0012476,              0.0012476,              0.0012476
                     40,                0.69565,                0.35511,                0.99335,                0.97296,                0.96967,                0.98512,                0.78906,                0.79824,                 0.4605,                  1.347,              0.0012278,              0.0012278,              0.0012278
                     41,                0.70226,                0.35383,                0.99454,                0.96965,                0.97176,                0.98442,                0.78642,                0.82815,                0.45976,                 1.3799,               0.001208,               0.001208,               0.001208
                     42,                0.68107,                0.34818,                 0.9884,                0.98191,                0.96518,                  0.987,                0.78567,                0.79714,                0.43769,                   1.34,              0.0011882,              0.0011882,              0.0011882
                     43,                0.67889,                0.34281,                0.98769,                 0.9717,                0.96653,                0.98458,                0.78175,                0.79762,                0.45357,                 1.3256,              0.0011684,              0.0011684,              0.0011684
                     44,                0.67914,                0.34246,                  0.986,                0.98136,                0.96025,                  0.986,                0.78563,                0.81909,                0.43303,                 1.3579,              0.0011486,              0.0011486,              0.0011486
                     45,                0.68114,                0.34155,                0.98485,                0.97662,                0.97699,                0.98592,                0.79071,                0.80151,                0.43613,                 1.3304,              0.0011288,              0.0011288,              0.0011288
                     46,                0.66893,                0.33672,                0.97775,                0.97683,                0.96998,                0.98769,                0.78371,                0.81001,                0.43429,                  1.345,               0.001109,               0.001109,               0.001109
                     47,                 0.6609,                0.33174,                 0.9762,                0.98316,                0.97684,                0.98823,                 0.7933,                0.78824,                0.41046,                 1.3391,              0.0010892,              0.0010892,              0.0010892
                     48,                0.65631,                0.33191,                0.97447,                0.98002,                0.97071,                0.98582,                0.79164,                0.78389,                0.42662,                 1.3455,              0.0010694,              0.0010694,              0.0010694
                     49,                0.65383,                0.32682,                 0.9716,                0.98192,                0.96601,                 0.9877,                0.78767,                0.81261,                0.42991,                 1.3452,              0.0010496,              0.0010496,              0.0010496
                     50,                0.65582,                0.33125,                0.97436,                0.97269,                0.97071,                0.98504,                0.78414,                0.78934,                0.42748,                 1.3329,              0.0010298,              0.0010298,              0.0010298
                     51,                0.64646,                0.32483,                0.96867,                0.97349,                 0.9728,                0.98544,                 0.7947,                0.77397,                0.42568,                 1.3183,                0.00101,                0.00101,                0.00101
                     52,                0.64676,                 0.3266,                0.96598,                0.97795,                0.97421,                0.98833,                0.79687,                0.76384,                 0.4043,                 1.3131,              0.0009902,              0.0009902,              0.0009902
                     53,                0.63673,                0.32011,                0.96475,                0.98026,                0.97594,                0.98599,                0.79333,                0.76625,                0.40026,                  1.317,              0.0009704,              0.0009704,              0.0009704
                     54,                0.63754,                0.31951,                0.96614,                0.99087,                0.96862,                0.98893,                0.79945,                0.73872,                0.38875,                 1.2728,              0.0009506,              0.0009506,              0.0009506
                     55,                0.63242,                0.31767,                0.96155,                0.97653,                0.97385,                0.98491,                0.79035,                0.78123,                0.40679,                 1.3173,              0.0009308,              0.0009308,              0.0009308
                     56,                 0.6288,                0.31251,                0.96072,                0.98411,                0.97163,                0.98543,                0.80171,                0.74924,                0.39951,                 1.2824,               0.000911,               0.000911,               0.000911
                     57,                0.62264,                0.31174,                0.95921,                0.97898,                 0.9745,                0.98429,                0.79812,                0.76107,                0.40263,                 1.2952,              0.0008912,              0.0008912,              0.0008912
                     58,                0.62021,                0.31059,                0.95804,                0.98611,                0.96565,                0.98769,                 0.7994,                0.75866,                0.41416,                 1.3014,              0.0008714,              0.0008714,              0.0008714
                     59,                0.61512,                0.30867,                0.95468,                0.97898,                0.97421,                0.98914,                0.80207,                0.76669,                0.41294,                 1.2993,              0.0008516,              0.0008516,              0.0008516
                     60,                0.61462,                 0.3052,                0.95179,                0.98175,                0.97803,                0.98883,                0.80256,                0.72377,                0.37343,                  1.247,              0.0008318,              0.0008318,              0.0008318
                     61,                0.61485,                0.30491,                0.95361,                0.97498,                0.97839,                0.98839,                0.80083,                0.73505,                0.39121,                 1.2686,               0.000812,               0.000812,               0.000812
                     62,                 0.6118,                0.30653,                0.95249,                0.97479,                0.96653,                0.98355,                0.79627,                0.73889,                0.39698,                 1.2632,              0.0007922,              0.0007922,              0.0007922
                     63,                0.60277,                0.30002,                0.94824,                0.96981,                0.98013,                0.98415,                0.79621,                0.73532,                0.40037,                 1.2707,              0.0007724,              0.0007724,              0.0007724
                     64,                0.59535,                0.29642,                0.94556,                0.97671,                0.96862,                0.98511,                0.79246,                0.76238,                0.40482,                 1.3032,              0.0007526,              0.0007526,              0.0007526
                     65,                0.59611,                0.29511,                0.94608,                0.97893,                0.97204,                 0.9868,                0.79931,                0.75879,                0.39804,                 1.3111,              0.0007328,              0.0007328,              0.0007328
                     66,                0.59366,                0.29523,                0.94395,                0.98298,                0.96684,                0.98368,                0.79471,                0.75633,                0.40964,                 1.3116,               0.000713,               0.000713,               0.000713
                     67,                0.58844,                0.29034,                0.94023,                0.97511,                0.97071,                0.98332,                0.79509,                 0.7371,                0.40654,                 1.2965,              0.0006932,              0.0006932,              0.0006932
                     68,                0.58162,                 0.2902,                0.94149,                0.97097,                0.97951,                0.98411,                0.79965,                0.74025,                0.40268,                  1.288,              0.0006734,              0.0006734,              0.0006734
                     69,                 0.5816,                0.28851,                0.94051,                0.97893,                0.97207,                0.98397,                0.79786,                0.72563,                0.40106,                 1.2652,              0.0006536,              0.0006536,              0.0006536
                     70,                 0.5799,                0.28619,                0.93686,                0.97482,                0.98117,                0.98298,                0.79752,                0.70826,                0.37733,                 1.2453,              0.0006338,              0.0006338,              0.0006338
                     71,                0.57204,                0.28329,                0.93501,                0.98413,                 0.9731,                0.98517,                0.80014,                0.71729,                0.39436,                  1.243,               0.000614,               0.000614,               0.000614
                     72,                 0.5673,                0.28191,                0.93161,                0.98236,                0.97385,                0.98628,                0.80014,                0.72524,                0.38771,                 1.2822,              0.0005942,              0.0005942,              0.0005942
                     73,                0.56865,                0.28039,                0.93348,                0.98073,                0.97594,                0.98531,                0.79754,                0.73114,                0.37046,                 1.2895,              0.0005744,              0.0005744,              0.0005744
                     74,                0.56317,                0.27812,                0.92822,                0.98346,                0.97071,                0.98585,                0.80325,                0.73621,                0.38036,                  1.297,              0.0005546,              0.0005546,              0.0005546
                     75,                0.55483,                0.27716,                0.92901,                0.98488,                0.97176,                0.98829,                0.80399,                0.71922,                0.36578,                 1.2828,              0.0005348,              0.0005348,              0.0005348
                     76,                0.55804,                0.27522,                0.92768,                 0.9755,                 0.9749,                 0.9853,                0.80199,                0.73316,                 0.3825,                 1.3051,               0.000515,               0.000515,               0.000515
                     77,                0.55442,                0.27286,                0.92678,                0.98204,                0.97221,                0.98619,                0.80583,                0.71438,                0.38104,                 1.2658,              0.0004952,              0.0004952,              0.0004952
                     78,                0.55224,                0.27134,                0.92636,                0.97996,                0.97196,                0.98694,                 0.8042,                0.71232,                0.37934,                 1.2717,              0.0004754,              0.0004754,              0.0004754
                     79,                0.54364,                0.26613,                0.92064,                 0.9862,                0.97175,                0.98619,                0.80497,                0.70736,                0.36458,                  1.274,              0.0004556,              0.0004556,              0.0004556
                     80,                0.54292,                0.26684,                0.92306,                0.98204,                0.97239,                 0.9844,                0.80219,                0.70223,                0.36039,                 1.2657,              0.0004358,              0.0004358,              0.0004358
                     81,                0.53729,                0.26546,                0.91844,                 0.9809,                0.96674,                0.98736,                0.80596,                0.71458,                0.37333,                 1.2811,               0.000416,               0.000416,               0.000416
                     82,                0.53493,                 0.2617,                0.91501,                0.97596,                0.97655,                 0.9866,                0.80962,                0.71359,                0.37292,                 1.2876,              0.0003962,              0.0003962,              0.0003962
                     83,                0.53092,                 0.2612,                0.91653,                0.98618,                0.97038,                0.98686,                0.80689,                0.69605,                 0.3579,                  1.268,              0.0003764,              0.0003764,              0.0003764
                     84,                 0.5292,                0.25874,                0.91826,                0.98586,                0.96653,                0.98721,                0.80856,                0.69732,                0.37024,                 1.2678,              0.0003566,              0.0003566,              0.0003566
                     85,                0.52938,                0.25892,                  0.918,                0.97504,                0.98054,                 0.9867,                0.81352,                0.68964,                0.34275,                 1.2724,              0.0003368,              0.0003368,              0.0003368
                     86,                0.51895,                0.25276,                0.91059,                0.98097,                0.96967,                0.98628,                0.81075,                0.69283,                0.35548,                 1.2641,               0.000317,               0.000317,               0.000317
                     87,                0.51811,                0.25342,                0.91138,                 0.9749,                0.97803,                0.98675,                0.81025,                0.69525,                0.35399,                 1.2683,              0.0002972,              0.0002972,              0.0002972
                     88,                0.51136,                0.25085,                0.90947,                0.98267,                0.96862,                0.98509,                0.80885,                0.69431,                0.35679,                 1.2732,              0.0002774,              0.0002774,              0.0002774
                     89,                 0.5166,                0.25191,                0.91027,                0.98469,                0.97385,                0.98696,                0.80547,                 0.6949,                0.35488,                 1.2769,              0.0002576,              0.0002576,              0.0002576
                     90,                0.50892,                0.24879,                  0.907,                 0.9831,                0.97352,                0.98631,                0.80397,                0.69087,                0.36105,                 1.2705,              0.0002378,              0.0002378,              0.0002378
                     91,                0.44082,                0.20468,                0.87572,                0.98615,                0.96843,                0.98596,                0.80926,                0.70025,                0.35869,                 1.2696,               0.000218,               0.000218,               0.000218
                     92,                0.43967,                0.20264,                 0.8741,                0.98304,                0.97014,                0.98704,                0.81293,                0.69737,                0.34566,                 1.2723,              0.0001982,              0.0001982,              0.0001982
                     93,                0.42847,                0.20013,                0.86817,                0.98407,                0.96945,                0.98663,                0.81327,                0.69955,                0.35089,                 1.2933,              0.0001784,              0.0001784,              0.0001784
                     94,                0.42485,                 0.1961,                0.86555,                0.98612,                0.96583,                0.98713,                0.81072,                0.70168,                0.34971,                 1.2989,              0.0001586,              0.0001586,              0.0001586
                     95,                0.42133,                 0.1951,                0.86484,                0.98406,                 0.9684,                0.98611,                0.81178,                0.69144,                0.34523,                 1.2831,              0.0001388,              0.0001388,              0.0001388
                     96,                0.41707,                0.19335,                0.86295,                0.97601,                0.97869,                0.98656,                0.81241,                0.69051,                0.34671,                 1.2851,               0.000119,               0.000119,               0.000119
                     97,                0.41694,                 0.1907,                0.86052,                0.97625,                0.97803,                0.98691,                0.81266,                0.69472,                0.34508,                 1.2932,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.41091,                0.18907,                 0.8594,                0.98638,                0.96757,                0.98682,                0.81147,                0.69238,                0.34672,                 1.2938,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.40494,                0.18627,                0.85585,                0.98204,                0.97228,                0.98675,                0.81463,                  0.686,                0.34536,                 1.2895,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.40287,                0.18671,                0.85945,                  0.979,                0.97549,                0.98676,                0.81334,                0.68723,                0.34871,                 1.2953,               3.98e-05,               3.98e-05,               3.98e-05
