                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.312,                0.79948,                 1.3054,                 0.9272,                0.88974,                0.94454,                0.62637,                 1.3659,                 1.3285,                 1.8192,             0.00066588,             0.00066588,             0.00066588
                      2,                 1.2224,                0.71553,                 1.2626,                0.94248,                0.92308,                0.96727,                0.66027,                 1.3669,                 1.3203,                 1.7426,              0.0013194,              0.0013194,              0.0013194
                      3,                 1.1707,                0.67224,                 1.2349,                0.96451,                0.94084,                0.97297,                0.67729,                 1.2181,                 1.0976,                 1.6781,              0.0019596,              0.0019596,              0.0019596
                      4,                 1.1218,                0.62721,                  1.204,                 0.9589,                0.95726,                0.98376,                0.69873,                 1.1618,                0.87803,                  1.579,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.0651,                0.58317,                 1.1791,                0.93829,                0.97459,                0.98567,                0.72463,                 1.1628,                0.75557,                 1.5293,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.0333,                0.55793,                 1.1622,                0.96209,                0.96154,                0.98576,                0.72507,                 1.0597,                0.65503,                 1.4686,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.0115,                0.53235,                 1.1509,                0.96064,                0.96992,                0.98496,                0.71968,                 1.0819,                0.66518,                 1.4864,               0.001901,               0.001901,               0.001901
                      8,                0.98433,                0.52105,                  1.135,                0.97106,                0.96795,                0.98741,                0.74875,                  1.059,                0.58385,                   1.44,              0.0018812,              0.0018812,              0.0018812
                      9,                0.97628,                0.51211,                 1.1299,                0.95733,                0.97949,                0.98848,                0.74868,                  1.049,                0.54937,                 1.4642,              0.0018614,              0.0018614,              0.0018614
                     10,                0.94941,                0.48388,                 1.1115,                0.97689,                0.97539,                0.98916,                0.74131,                 1.0171,                0.55945,                 1.4003,              0.0018416,              0.0018416,              0.0018416
                     11,                0.92691,                0.47515,                 1.1048,                0.98341,                0.96923,                0.98805,                0.75124,                0.98682,                0.55436,                  1.401,              0.0018218,              0.0018218,              0.0018218
                     12,                0.90232,                0.46191,                 1.0921,                0.98004,                0.97564,                0.98948,                0.76796,                0.94795,                0.52881,                 1.3641,               0.001802,               0.001802,               0.001802
                     13,                0.89266,                0.45693,                 1.0884,                0.97807,                0.97201,                0.98806,                0.75783,                0.94523,                0.53709,                 1.3452,              0.0017822,              0.0017822,              0.0017822
                     14,                0.88582,                0.44346,                 1.0792,                0.98197,                0.97775,                0.98911,                 0.7601,                0.95145,                0.49425,                 1.3532,              0.0017624,              0.0017624,              0.0017624
                     15,                0.86431,                0.43138,                 1.0699,                0.97198,                0.97848,                 0.9895,                0.76015,                0.92181,                0.48271,                 1.3285,              0.0017426,              0.0017426,              0.0017426
                     16,                0.84111,                0.42219,                 1.0561,                0.98331,                0.97436,                 0.9892,                0.76058,                 0.9255,                 0.5082,                 1.3342,              0.0017228,              0.0017228,              0.0017228
                     17,                0.83333,                0.41242,                 1.0551,                0.98958,                0.97564,                0.98829,                0.76647,                0.92403,                0.49803,                 1.3233,               0.001703,               0.001703,               0.001703
                     18,                0.83377,                0.42031,                 1.0534,                0.98699,                0.97269,                0.98907,                0.74946,                0.92167,                0.46181,                 1.3187,              0.0016832,              0.0016832,              0.0016832
                     19,                0.83047,                0.41339,                 1.0492,                0.97867,                0.97308,                 0.9902,                0.76367,                0.89641,                0.49736,                 1.2935,              0.0016634,              0.0016634,              0.0016634
                     20,                0.82589,                0.40772,                 1.0518,                0.98448,                0.96923,                0.99001,                 0.7581,                0.92057,                0.46196,                 1.3376,              0.0016436,              0.0016436,              0.0016436
                     21,                0.81057,                0.40232,                 1.0421,                 0.9845,                0.97716,                0.99045,                 0.7682,                0.86019,                0.45717,                 1.2509,              0.0016238,              0.0016238,              0.0016238
                     22,                0.80482,                0.40102,                 1.0468,                 0.9856,                0.97308,                0.98995,                0.77057,                0.91251,                0.45995,                 1.3267,               0.001604,               0.001604,               0.001604
                     23,                0.79339,                0.39766,                 1.0431,                0.98468,                0.97308,                0.98972,                0.77314,                0.89679,                 0.4448,                  1.297,              0.0015842,              0.0015842,              0.0015842
                     24,                0.78813,                0.38809,                 1.0303,                0.97456,                0.98207,                0.99002,                0.77568,                0.85867,                0.44475,                 1.2455,              0.0015644,              0.0015644,              0.0015644
                     25,                0.78468,                0.38735,                 1.0268,                0.97989,                0.97692,                0.98999,                0.76953,                0.89455,                0.44412,                 1.2999,              0.0015446,              0.0015446,              0.0015446
                     26,                0.77208,                0.38316,                 1.0246,                0.97836,                0.98523,                0.98997,                0.78716,                0.84607,                0.41507,                 1.2591,              0.0015248,              0.0015248,              0.0015248
                     27,                0.76857,                0.37763,                 1.0289,                0.97942,                0.97605,                 0.9904,                0.77747,                0.90684,                0.44463,                 1.3416,               0.001505,               0.001505,               0.001505
                     28,                0.74898,                0.36807,                 1.0076,                0.97709,                 0.9842,                 0.9904,                0.78084,                0.82832,                0.42548,                 1.2346,              0.0014852,              0.0014852,              0.0014852
                     29,                 0.7546,                0.37008,                 1.0163,                0.97641,                0.98205,                0.99084,                0.78578,                0.86599,                0.43263,                 1.2624,              0.0014654,              0.0014654,              0.0014654
